Date,Name,Set,Reps,Weight
05/07/2023,Squat,1.0,5.0,70.0
05/07/2023,Squat,2.0,3.0,100.0
05/07/2023,Squat,3.0,3.0,100.0
05/07/2023,Squat,4.0,3.0,100.0
05/07/2023,Squat,5.0,1.0,120.0
05/07/2023,Squat,6.0,1.0,130.0
05/07/2023,Squat,7.0,1.0,135.0
05/07/2023,Squat,8.0,1.0,140.0
05/07/2023,Bulgarian Split Squat,1.0,8.0,18.0
05/07/2023,Bulgarian Split Squat,2.0,6.0,18.0
05/07/2023,Bulgarian Split Squat,3.0,6.0,18.0
05/07/2023,Bulgarian Split Squat,4.0,8.0,18.0
05/07/2023,Goblin Squat,1.0,8.0,30.0
05/07/2023,Goblin Squat,2.0,8.0,30.0
05/07/2023,Goblin Squat,3.0,6.0,30.0
05/07/2023,Goblin Squat,4.0,6.0,30.0
05/07/2023,Glute Bridge,1.0,10.0,0.0
05/07/2023,Glute Bridge,2.0,10.0,0.0
05/07/2023,Glute Bridge,3.0,10.0,0.0
05/07/2023,Glute Bridge,4.0,10.0,0.0
05/07/2023,Calf Raise,1.0,20.0,18.0
05/07/2023,Calf Raise,2.0,20.0,18.0
05/07/2023,Calf Raise,3.0,20.0,18.0
05/07/2023,Calf Raise,4.0,20.0,18.0
05/07/2023,RDL,1.0,5.0,60.0
05/07/2023,RDL,2.0,5.0,80.0
05/07/2023,RDL,3.0,5.0,80.0
15/07/2023,Bench Press,1.0,8.0,60.0
15/07/2023,Bench Press,2.0,5.0,65.0
15/07/2023,Bench Press,3.0,2.0,70.0
